mechanism,level,imputation_method,auc_roc,auc_pr,macro_f1,mcc,brier_score
baseline,0,none,0.7785520436711658,0.5525440492051842,0.6712510919963339,0.39619039065368056,0.13491280382183052
mcar,0.1,mean_mode,0.7731050813641708,0.5412339662008773,0.673380511703865,0.39402931778442285,0.13714461306154327
mcar,0.1,knn,0.7731719246562408,0.5435429163396246,0.6721219065756285,0.3940219349574119,0.13636064281767118
mcar,0.1,mice,0.7702313035925568,0.5360173799167072,0.6631636600143771,0.3750414613984906,0.13788986837882541
mcar,0.1,missforest,0.7764099137068419,0.5474292728974051,0.6762589281092982,0.39615069689648247,0.1360223002544496
mcar,0.2,mean_mode,0.7706801776660839,0.5399578053245061,0.6679519967739828,0.3880665520117331,0.13702724130987098
mcar,0.2,knn,0.7676506203525166,0.5376724754148378,0.6676954864402479,0.3843566599301703,0.13766326511970206
mcar,0.2,mice,0.7574631866011533,0.5217401098047653,0.6442829595320794,0.35318949386652426,0.14047516349772846
mcar,0.2,missforest,0.771065111171925,0.5409423837039335,0.6690803658203005,0.387512930483011,0.13706203948304374
mcar,0.3,mean_mode,0.7652585335662179,0.5300535831079359,0.6652856589528799,0.3835546687226161,0.1379570154315851
mcar,0.3,knn,0.7645951804131901,0.5261169766395681,0.6507976379626226,0.36324019013631814,0.13883812051452418
mcar,0.3,mice,0.758225796801875,0.5093880188902883,0.6314042904092261,0.3323427990028912,0.1412448691513851
mcar,0.3,missforest,0.7636499404699607,0.5205073334099215,0.6680378605991599,0.3820888856526306,0.1393103631827979
mar,0.1,mean_mode,0.7720047069288515,0.5405121024461069,0.6620590240129645,0.3843743092021237,0.13689886773707122
mar,0.1,knn,0.7705373797526266,0.53901644338987,0.6742132493095265,0.39810516511543154,0.13676252221961002
mar,0.1,mice,0.7700392399958007,0.5325756102188717,0.651336201510627,0.3616845238018052,0.13820432155717535
mar,0.1,missforest,0.7746941617020673,0.5416900322823694,0.6620590240129645,0.3843743092021237,0.13650429523070376
mar,0.2,mean_mode,0.7621278646866001,0.5254761408611761,0.6584450144170629,0.3758266509352598,0.13916369853515986
mar,0.2,knn,0.7641889602618644,0.5211745232830658,0.6594987520048514,0.36930861469587967,0.13997142340643492
mar,0.2,mice,0.7591928878092189,0.5137345466964096,0.6404762084658724,0.3429179773776165,0.14099870667064957
mar,0.2,missforest,0.7662566675982262,0.5315031717713999,0.6654129493061255,0.3775952001910122,0.13821923158856922
mar,0.3,mean_mode,0.7657336934216686,0.5248391116115232,0.6636055924607098,0.37579672242908935,0.13879082307136423
mar,0.3,knn,0.7567467780968804,0.51243942195732,0.6465293437160434,0.3523112261806027,0.14085272948549105
mar,0.3,mice,0.7534237230955749,0.5023512772928505,0.6354223322092897,0.33850084292530286,0.1424535697460566
mar,0.3,missforest,0.7589060825138109,0.5116348923485848,0.6599290884626339,0.3722232441008446,0.14017655336784718
mnar,0.1,mean_mode,0.7650330080078103,0.5258660860215985,0.661614891498624,0.3713476119159266,0.13892351016125515
mnar,0.1,knn,0.7658762494414272,0.5299607774967197,0.658205961409154,0.3679112726639728,0.13879822850537618
mnar,0.1,mice,0.7624574045354423,0.5176901714099488,0.6589037605023639,0.3659225668344086,0.13997001062679162
mnar,0.1,missforest,0.7661413649351863,0.528321620578079,0.6665205420314477,0.3805172567790284,0.13864352568604166
mnar,0.2,mean_mode,0.7627462256116725,0.5216715932338962,0.6584178397631533,0.36937240613114036,0.139455664386837
mnar,0.2,knn,0.7604521864045742,0.5198007624319982,0.6645952005546168,0.37696711089833934,0.14036793578499765
mnar,0.2,mice,0.7574909237452692,0.5091221509227333,0.6341599737137167,0.3337268671505443,0.14162910147020552
mnar,0.2,missforest,0.7582804647777779,0.5194602888633626,0.6479505318212634,0.36300722914574957,0.14073339280650668
mnar,0.3,mean_mode,0.7495652767078461,0.502325092255767,0.635751276190275,0.3358018014287287,0.1430143103356276
mnar,0.3,knn,0.7504031964800919,0.5038928413465993,0.6316596444724655,0.3376904818241275,0.14269944990369166
mnar,0.3,mice,0.7432777337979197,0.49975238453248655,0.6261321035507253,0.32687903816206526,0.14390290112337958
mnar,0.3,missforest,0.7495373783012644,0.5003128626272404,0.6261586617751002,0.3258498260015369,0.1432372855338144
